Space Group,Extinction Group,Crystal System
1,99,triclinic
2,99,triclinic
3,1,monoclinic
4,2,monoclinic
5,5,monoclinic
6,1,monoclinic
7,3,monoclinic
8,5,monoclinic
9,6,monoclinic
10,1,monoclinic
11,2,monoclinic
12,5,monoclinic
13,3,monoclinic
14,4,monoclinic
15,6,monoclinic
16,7,orthorhombic
17,8,orthorhombic
18,9,orthorhombic
19,10,orthorhombic
20,27,orthorhombic
21,26,orthorhombic
22,37,orthorhombic
23,33,orthorhombic
24,33,orthorhombic
25,7,orthorhombic
26,11,orthorhombic
27,13,orthorhombic
28,11,orthorhombic
29,14,orthorhombic
30,15,orthorhombic
31,12,orthorhombic
32,16,orthorhombic
33,17,orthorhombic
34,18,orthorhombic
35,26,orthorhombic
36,29,orthorhombic
37,31,orthorhombic
38,26,orthorhombic
39,28,orthorhombic
40,29,orthorhombic
41,30,orthorhombic
42,37,orthorhombic
43,38,orthorhombic
44,33,orthorhombic
45,35,orthorhombic
46,34,orthorhombic
47,7,orthorhombic
48,25,orthorhombic
49,13,orthorhombic
50,20,orthorhombic
51,11,orthorhombic
52,24,orthorhombic
53,15,orthorhombic
54,19,orthorhombic
55,16,orthorhombic
56,23,orthorhombic
57,14,orthorhombic
58,18,orthorhombic
59,12,orthorhombic
60,22,orthorhombic
61,21,orthorhombic
62,17,orthorhombic
63,29,orthorhombic
64,30,orthorhombic
65,26,orthorhombic
66,31,orthorhombic
67,28,orthorhombic
68,32,orthorhombic
69,37,orthorhombic
70,39,orthorhombic
71,33,orthorhombic
72,35,orthorhombic
73,36,orthorhombic
74,34,orthorhombic
75,40,tetragonal
76,44,tetragonal
77,42,tetragonal
78,44,tetragonal
79,63,tetragonal
80,64,tetragonal
81,40,tetragonal
82,63,tetragonal
83,40,tetragonal
84,42,tetragonal
85,54,tetragonal
86,55,tetragonal
87,63,tetragonal
88,68,tetragonal
89,40,tetragonal
90,41,tetragonal
91,44,tetragonal
92,45,tetragonal
93,42,tetragonal
94,43,tetragonal
95,44,tetragonal
96,45,tetragonal
97,63,tetragonal
98,64,tetragonal
99,40,tetragonal
100,48,tetragonal
101,50,tetragonal
102,52,tetragonal
103,51,tetragonal
104,53,tetragonal
105,46,tetragonal
106,49,tetragonal
107,63,tetragonal
108,66,tetragonal
109,65,tetragonal
110,67,tetragonal
111,40,tetragonal
112,46,tetragonal
113,41,tetragonal
114,47,tetragonal
115,40,tetragonal
116,50,tetragonal
117,48,tetragonal
118,52,tetragonal
119,63,tetragonal
120,66,tetragonal
121,63,tetragonal
122,65,tetragonal
123,40,tetragonal
124,51,tetragonal
125,57,tetragonal
126,62,tetragonal
127,48,tetragonal
128,53,tetragonal
129,54,tetragonal
130,60,tetragonal
131,46,tetragonal
132,50,tetragonal
133,58,tetragonal
134,61,tetragonal
135,49,tetragonal
136,52,tetragonal
137,56,tetragonal
138,59,tetragonal
139,63,tetragonal
140,66,tetragonal
141,69,tetragonal
142,70,tetragonal
143,71,trigonal
144,72,trigonal
145,72,trigonal
146,75,trigonal
147,71,trigonal
148,75,trigonal
149,71,trigonal
150,71,trigonal
151,72,trigonal
152,72,trigonal
153,72,trigonal
154,72,trigonal
155,75,trigonal
156,71,trigonal
157,71,trigonal
158,74,trigonal
159,73,trigonal
160,75,trigonal
161,76,trigonal
162,71,trigonal
163,73,trigonal
164,71,trigonal
165,74,trigonal
166,75,trigonal
167,76,trigonal
168,71,hexagonal
169,79,hexagonal
170,79,hexagonal
171,78,hexagonal
172,78,hexagonal
173,77,hexagonal
174,71,hexagonal
175,71,hexagonal
176,77,hexagonal
177,71,hexagonal
178,79,hexagonal
179,79,hexagonal
180,78,hexagonal
181,78,hexagonal
182,77,hexagonal
183,71,hexagonal
184,80,hexagonal
185,74,hexagonal
186,73,hexagonal
187,71,hexagonal
188,74,hexagonal
189,71,hexagonal
190,73,hexagonal
191,71,hexagonal
192,80,hexagonal
193,74,hexagonal
194,73,hexagonal
195,81,cubic
196,94,cubic
197,89,cubic
198,82,cubic
199,89,cubic
200,81,cubic
201,87,cubic
202,94,cubic
203,97,cubic
204,89,cubic
205,86,cubic
206,92,cubic
207,81,cubic
208,83,cubic
209,94,cubic
210,95,cubic
211,89,cubic
212,84,cubic
213,84,cubic
214,90,cubic
215,81,cubic
216,94,cubic
217,89,cubic
218,85,cubic
219,96,cubic
220,91,cubic
221,81,cubic
222,88,cubic
223,85,cubic
224,87,cubic
225,94,cubic
226,96,cubic
227,97,cubic
228,98,cubic
229,89,cubic
230,93,cubic
